price,review_scores_rating,availability_90,neighbourhood_group_cleansed,host_acceptance_rate,host_response_time,host_identity_verified,host_has_profile_pic,number_of_reviews,instant_bookable,host_is_superhost
27,60.0,0,Mitte,0,within a day,No,Yes,2,No,No
22,100.0,0,Neukölln,,,Yes,Yes,7,No,No
50,100.0,0,Neukölln,,,Yes,Yes,8,No,No
26,100.0,0,Mitte,100,,Yes,Yes,2,Yes,No
56,100.0,89,Mitte,61,within a day,Yes,Yes,2,No,No
100,97.0,10,Treptow - Köpenick,100,within an hour,Yes,Yes,6,No,No
110,100.0,29,Charlottenburg-Wilm.,100,,Yes,Yes,24,Yes,Yes
40,80.0,0,Tempelhof - Schöneberg,,,No,Yes,2,No,No
19,90.0,0,Charlottenburg-Wilm.,72,,Yes,Yes,43,No,No
70,100.0,89,Friedrichshain-Kreuzberg,55,a few days or more,Yes,Yes,6,No,No
13,100.0,0,Lichtenberg,,,No,Yes,1,No,No
36,87.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,6,No,No
20,80.0,83,Charlottenburg-Wilm.,82,,Yes,Yes,6,No,No
60,100.0,90,Pankow,45,within a few hours,Yes,Yes,4,No,Yes
45,100.0,0,Pankow,100,within a day,No,Yes,6,No,No
80,90.0,29,Friedrichshain-Kreuzberg,99,within an hour,Yes,Yes,191,Yes,No
45,99.0,0,Mitte,38,within an hour,Yes,Yes,72,No,Yes
115,91.0,88,Mitte,100,within an hour,Yes,Yes,181,Yes,No
49,94.0,75,Mitte,100,within a few hours,No,Yes,34,Yes,No
80,100.0,0,Friedrichshain-Kreuzberg,83,within an hour,Yes,Yes,4,Yes,No
40,93.0,90,Charlottenburg-Wilm.,43,within a few hours,Yes,Yes,36,No,No
64,92.0,0,Mitte,92,,No,Yes,10,Yes,No
65,100.0,0,Mitte,100,within an hour,No,Yes,3,Yes,No
141,97.0,60,Mitte,98,within a day,Yes,Yes,8,Yes,No
78,95.0,0,Neukölln,,,Yes,Yes,31,No,No
80,99.0,0,Neukölln,71,,Yes,Yes,28,No,Yes
60,94.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,7,No,No
21,100.0,0,Mitte,,,Yes,Yes,3,Yes,No
35,100.0,0,Mitte,100,,No,Yes,3,No,No
19,93.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,3,No,No
41,100.0,0,Reinickendorf,100,within a few hours,Yes,Yes,2,No,No
45,91.0,0,Mitte,,,No,Yes,19,No,No
55,100.0,0,Pankow,,,Yes,Yes,2,Yes,No
45,100.0,0,Charlottenburg-Wilm.,,,Yes,Yes,2,No,No
41,97.0,0,Friedrichshain-Kreuzberg,85,within an hour,Yes,Yes,44,Yes,No
29,80.0,0,Charlottenburg-Wilm.,,,Yes,Yes,2,Yes,No
106,98.0,79,Friedrichshain-Kreuzberg,25,,Yes,Yes,9,No,No
41,91.0,90,Friedrichshain-Kreuzberg,,,No,Yes,25,No,No
48,93.0,77,Pankow,78,within an hour,No,Yes,24,Yes,No
40,97.0,0,Neukölln,,,Yes,Yes,6,Yes,No
124,97.0,75,Charlottenburg-Wilm.,31,within an hour,Yes,Yes,29,Yes,No
40,100.0,88,Marzahn - Hellersdorf,0,a few days or more,No,Yes,6,No,No
178,99.0,50,Mitte,97,within an hour,Yes,Yes,58,No,Yes
160,97.0,61,Friedrichshain-Kreuzberg,100,within a few hours,No,Yes,51,Yes,No
15,100.0,0,Tempelhof - Schöneberg,,,Yes,Yes,8,Yes,No
130,100.0,0,Pankow,100,within a few hours,No,Yes,1,No,No
55,100.0,0,Mitte,,,No,Yes,1,Yes,No
35,100.0,3,Friedrichshain-Kreuzberg,100,within an hour,No,Yes,4,Yes,No
70,100.0,90,Friedrichshain-Kreuzberg,33,a few days or more,Yes,Yes,1,No,No
149,93.0,88,Neukölln,50,,No,Yes,3,No,No
61,94.0,57,Pankow,94,within an hour,Yes,Yes,183,No,No
80,93.0,87,Friedrichshain-Kreuzberg,100,,No,Yes,3,No,No
69,92.0,71,Friedrichshain-Kreuzberg,100,within an hour,Yes,Yes,150,Yes,No
32,90.0,4,Neukölln,60,within an hour,No,Yes,6,Yes,No
36,97.0,1,Neukölln,92,within an hour,Yes,Yes,20,No,Yes
18,100.0,0,Charlottenburg-Wilm.,,,No,Yes,2,Yes,No
50,93.0,87,Mitte,50,,Yes,Yes,4,No,No
40,100.0,0,Pankow,85,within a day,Yes,Yes,11,No,Yes
18,100.0,0,Charlottenburg-Wilm.,,,Yes,Yes,3,No,No
93,93.0,30,Mitte,100,within an hour,Yes,Yes,8,Yes,No
37,80.0,0,Lichtenberg,50,,Yes,Yes,5,No,No
110,95.0,15,Friedrichshain-Kreuzberg,100,within an hour,No,Yes,20,No,No
30,100.0,51,Neukölln,22,within a day,Yes,Yes,10,No,No
49,99.0,0,Charlottenburg-Wilm.,100,,No,Yes,41,No,Yes
55,95.0,0,Mitte,,,No,Yes,40,No,No
27,94.0,0,Charlottenburg-Wilm.,100,within an hour,Yes,Yes,19,Yes,No
35,90.0,0,Friedrichshain-Kreuzberg,78,within an hour,Yes,No,2,Yes,No
149,97.0,72,Mitte,100,within an hour,Yes,Yes,15,Yes,Yes
100,100.0,0,Neukölln,100,within a day,Yes,Yes,5,No,Yes
14,92.0,90,Mitte,96,within an hour,Yes,Yes,15,Yes,No
35,92.0,0,Pankow,,,Yes,Yes,47,No,No
63,96.0,75,Neukölln,93,within an hour,Yes,Yes,89,No,Yes
75,100.0,88,Mitte,0,,No,Yes,1,No,No
64,97.0,0,Mitte,,,Yes,Yes,40,No,No
50,100.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,1,Yes,No
60,97.0,0,Friedrichshain-Kreuzberg,94,within a day,Yes,Yes,13,Yes,Yes
85,92.0,1,Neukölln,89,within an hour,Yes,Yes,10,Yes,No
