availability_365,date,price
0-50,2020-09-01,56.108753011357116
0-50,2020-09-02,56.13272914993691
0-50,2020-09-03,56.31708156475852
0-50,2020-09-04,57.56234943214409
0-50,2020-09-05,57.85866697258231
0-50,2020-09-06,56.82792245038431
0-50,2020-09-07,56.51393828151887
0-50,2020-09-08,56.47619593896983
0-50,2020-09-09,56.48652059194677
0-50,2020-09-10,56.44797522083285
0-50,2020-09-11,57.44143627394746
0-50,2020-09-12,57.4616267064357
0-50,2020-09-13,56.470460020649305
0-50,2020-09-14,56.455202477916714
0-50,2020-09-15,56.45589078811518
0-50,2020-09-16,56.490421016404724
0-50,2020-09-17,56.549042101640474
0-50,2020-09-18,57.52059194677068
0-50,2020-09-19,57.56567626476999
0-50,2020-09-20,56.58024549730412
0-50,2020-09-21,56.68773660663072
0-50,2020-09-22,56.793621658827576
0-50,2020-09-23,56.92027073534473
0-50,2020-09-24,57.239990822530686
0-50,2020-09-25,58.59274979924286
0-50,2020-09-26,58.659171733394516
0-50,2020-09-27,57.41195365377997
0-50,2020-09-28,56.89331191923827
0-50,2020-09-29,56.77400481817139
0-50,2020-09-30,56.686704141333024
0-50,2020-10-01,56.645061374326026
0-50,2020-10-02,57.63496615808191
0-50,2020-10-03,57.673282092463005
0-50,2020-10-04,56.648388206951935
0-50,2020-10-05,56.58299873809797
0-50,2020-10-06,56.58357232993002
0-50,2020-10-07,56.57818056670873
0-50,2020-10-08,56.66020419869221
0-50,2020-10-09,57.60754846850981
0-50,2020-10-10,57.63829299070781
0-50,2020-10-11,56.653206378341174
0-50,2020-10-12,56.62188826431112
0-50,2020-10-13,56.62188826431112
0-50,2020-10-14,56.60261557875416
0-50,2020-10-15,56.62865664792933
0-50,2020-10-16,57.623953194906505
0-50,2020-10-17,57.655386027302974
0-50,2020-10-18,56.622232419410345
0-50,2020-10-19,56.54628886084662
0-50,2020-10-20,56.56269358724332
0-50,2020-10-21,56.567397040266144
0-50,2020-10-22,56.58781690948721
0-50,2020-10-23,57.55867844441895
0-50,2020-10-24,57.54445336698405
0-50,2020-10-25,56.54445336698405
0-50,2020-10-26,56.64161982333371
0-50,2020-10-27,56.653206378341174
0-50,2020-10-28,56.661810255821955
0-50,2020-10-29,56.690719284157396
0-50,2020-10-30,57.610875301135714
0-50,2020-10-31,57.64494665595962
0-50,2020-11-01,55.942181943329125
0-50,2020-11-02,55.8005047608122
