id,host_is_superhost,neighbourhood_group_cleansed,room_type,beds,availability_365,review_scores_rating
1944,No,Mitte,Private room,1.0,251-300,81-90
3176,No,Pankow,Entire home/apt,2.0,300+,91-100
3309,No,Tempelhof - Schöneberg,Private room,1.0,201-250,81-90
7071,Yes,Pankow,Private room,2.0,0-50,91-100
9991,No,Pankow,Entire home/apt,7+,0-50,91-100
14325,Yes,Pankow,Entire home/apt,1.0,251-300,91-100
16644,No,Friedrichshain-Kreuzberg,Entire home/apt,3.0,201-250,91-100
17904,Yes,Neukölln,Entire home/apt,0.0,300+,91-100
20858,No,Pankow,Entire home/apt,2.0,151-200,81-90
21869,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,201-250,91-100
22415,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,201-250,91-100
22438,No,Mitte,Entire home/apt,4.0,251-300,91-100
22677,Yes,Mitte,Entire home/apt,4.0,251-300,91-100
23834,No,Friedrichshain-Kreuzberg,Entire home/apt,3.0,0-50,81-90
24569,No,Pankow,Entire home/apt,2.0,0-50,91-100
25653,No,Pankow,Entire home/apt,2.0,201-250,91-100
28156,Yes,Pankow,Entire home/apt,1.0,201-250,91-100
29279,Yes,Pankow,Entire home/apt,3.0,201-250,91-100
30295,Yes,Pankow,Entire home/apt,4.0,300+,91-100
31440,Yes,Pankow,Private room,0.0,300+,91-100
33043,No,Mitte,Entire home/apt,2.0,51-100,81-90
35152,Yes,Mitte,Private room,1.0,151-200,91-100
36480,No,Charlottenburg-Wilm.,Private room,1.0,300+,81-90
37052,Yes,Mitte,Entire home/apt,1.0,101-150,91-100
37836,No,Friedrichshain-Kreuzberg,Private room,1.0,101-150,81-90
38074,No,Pankow,Entire home/apt,1.0,300+,81-90
38296,No,Neukölln,Entire home/apt,2.0,300+,81-90
40600,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
41217,No,Pankow,Private room,1.0,0-50,91-100
41306,No,Pankow,Private room,1.0,0-50,71-80
42742,No,Friedrichshain-Kreuzberg,Private room,1.0,201-250,81-90
42809,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,300+,91-100
44083,No,Treptow - Köpenick,Private room,1.0,300+,81-90
44423,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
47938,No,Pankow,Entire home/apt,3.0,0-50,91-100
52570,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,300+,91-100
54952,Yes,Mitte,Private room,2.0,0-50,91-100
55853,Yes,Charlottenburg-Wilm.,Entire home/apt,2.0,251-300,91-100
57049,Yes,Pankow,Entire home/apt,3.0,151-200,91-100
57209,No,Mitte,Entire home/apt,4.0,0-50,91-100
58780,Yes,Pankow,Entire home/apt,3.0,201-250,91-100
62613,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,300+,91-100
63052,Yes,Neukölln,Private room,1.0,300+,91-100
64014,No,Mitte,Entire home/apt,3.0,300+,91-100
64245,Yes,Pankow,Private room,2.0,0-50,91-100
64590,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,91-100
68142,No,Friedrichshain-Kreuzberg,Private room,2.0,51-100,91-100
68448,No,Pankow,Entire home/apt,2.0,300+,91-100
73302,Yes,Tempelhof - Schöneberg,Entire home/apt,2.0,201-250,91-100
74614,No,Pankow,Entire home/apt,4.0,300+,81-90
80843,Yes,Charlottenburg-Wilm.,Entire home/apt,1.0,0-50,91-100
81049,No,Mitte,Entire home/apt,3.0,300+,91-100
81081,Yes,Pankow,Entire home/apt,1.0,0-50,91-100
82893,No,Mitte,Entire home/apt,1.0,201-250,91-100
83183,No,Pankow,Entire home/apt,1.0,0-50,91-100
